feature_name,rank
TUBAL3,0.662933632582944
FCGR2B,0.661453782713593
CRABP1,0.661423479964321
STC2,0.66101603576006
HES7,0.660426558419852
OGN,0.660266106452083
CSF1,0.659611696842629
GABRR2,0.65846913402495
CXorf67,0.657161181391371
EPS8L1,0.656733432549514
FAM170B,0.655778138403703
METTL7B,0.655677762980154
GALR2,0.654597984793649
IL17RB,0.653887163862407
VENTX,0.653620214122795
AC109583.1,0.65357228610728
TMEM213,0.6528859481295
C1QA,0.651127799387481
LRG1,0.650445138021143
GLI1,0.649722186502528
GJA4,0.648859078101221
PCOLCE,0.648603433759087
ACRC,0.648250019105582
HK3,0.646937019583448
TLR8,0.646021952708224
ZGLP1,0.645828636144211
SLC4A11,0.645769575786105
CLEC18B,0.643739088423695
SLFNL1,0.642803901775914
ARHGEF19,0.642547474942934
LTA,0.6421946558713
RNASE3,0.641947363961162
ADM2,0.641000841252351
MT-ND6,0.640848861790198
SLC52A3,0.640312353460917
CXorf28,0.639607357636959
FKBP5,0.63943343903837
TNFRSF11B,0.639127093907676
GTSF1,0.636962823140454
GPSM3,0.636660501979255
HCLS1,0.636583222050516
CCDC151,0.636427888564523
CLEC2B,0.635985970772906
IL4R,0.635313593953295
WNT6,0.635199008520005
DMRTC1B,0.634582503502134
CELA1,0.633797175883216
AL031663.2,0.632718109011252
GJB2,0.631998721156972
GAS1,0.631558782668302
IRF7,0.631447979415377
TBX6,0.629035346474476
KLF15,0.628762283887313
DSP,0.627785368169902
S100P,0.627342599998733
NFE2,0.626071238356982
EBI3,0.625875257622762
GAST,0.624763187359823
PAGE4,0.622954546648092
AC093668.1,0.62136047383227
LCN9,0.620664691161777
VSIG4,0.619236637740864
GABRE,0.619157917516376
NOS3,0.616940623587359
CLEC4E,0.616544287763926
ATOH8,0.616327618004679
S100A4,0.616284052207277
FZD9,0.615448396185546
DOK2,0.615019835212658
TEAD2,0.614484898681869
GEM,0.614240078936095
SAMD11,0.613938709869804
TNFRSF12A,0.612694184751747
GPRC5A,0.612410261633557
CD180,0.611887089657357
ALOX15B,0.611655542652502
C10orf111,0.610894966013268
TMEM150B,0.610047935249961
BMP5,0.610019669737225
UBQLNL,0.609058894184362
MCM10,0.607680441403736
STRA6,0.605685349602591
RCVRN,0.605659340931291
CKS2,0.605511265585959
CASP7,0.605444941889493
IL2RG,0.604749394955792
MSX1,0.603769112560618
SH3TC1,0.602864472774357
RP11-115C10.1,0.602713517619746
CARD14,0.602341657457099
MROH6,0.601423042711472
ANKRD37,0.59982184202415
PRSS42,0.599002411597639
KLHDC7A,0.59842467091932
ZC3H12A,0.597611360879534
TNNI2,0.59624928386031
MPZL2,0.594923753741926
SLC7A2,0.593877300799362
FZD8,0.592194922834025
IGF2,0.592063379026106
FOXA3,0.591783563495804
C1QC,0.591514110044103
GADL1,0.591191098536996
FGF17,0.5905360111816
LRRC3DN,0.590518025227708
PLEKHG6,0.589585175891284
FOXF1,0.589573372522473
SLC17A9,0.58931727873924
FAM20A,0.588889860490447
DNASE1L2,0.588441949966585
ZNF705A,0.588367825895182
UCMA,0.585995579522726
CST7,0.585639353476285
LCK,0.585107053526866
TAL1,0.584966900408764
VHLL,0.58393324951499
PLAUR,0.583308861325141
DIO3,0.582313416051214
GRK7,0.58154672191021
FKSG62,0.581115549744522
LBP,0.581077493514394
RP1-27O5.3,0.580611462675277
OR3A3,0.580529923267525
NPFF,0.580523742647895
PRX,0.580410803188134
UBE2C,0.579379405011095
GAS2L3,0.579199441785217
NCF1,0.57866146143413
LCNL1,0.578138408898927
MT1E,0.578074541373219
CCDC36,0.577882804609801
NFIL3,0.577268346120191
KCNJ15,0.576481273182275
CEBPD,0.576295410350241
FCGR2A,0.575757866519544
IL32,0.575376681049379
CHORDC1,0.574800401308223
RIPK4,0.574172051638179
FBLN1,0.573976107160561
MT1X,0.573736849523341
MEOX2,0.573664021190247
AC139100.2,0.573653663310005
ADAMTS2,0.573618090175983
HIST1H1T,0.573410469017028
VNN1,0.573220866747919
LILRA5,0.572898775679279
GDF15,0.571819192239265
SNX20,0.571376512436168
PRELP,0.571177648442772
SIX5,0.570716785098134
MOB4,0.570681249691821
SLC22A8,0.570655573863255
FKBP4,0.569698809322853
BCL3,0.568969742311271
MAGEA12,0.568473224054785
FAM229A,0.567910081504072
TNFRSF4,0.566878609487809
CEL,0.566106552814823
GDPD3,0.566084202067697
SLC23A3,0.565648161709687
GAL,0.56492821213262
C7,0.563912466802492
GZMM,0.562886517071278
JDP2,0.562866013452822
PKN3,0.56270096639883
BCL6B,0.562121500535161
PNP,0.562071230890457
TJP3,0.562024138742781
PRKX,0.561953879362255
EYA2,0.561694704483692
C3AR1,0.56159372852715
DLL4,0.56097900166142
TOR4A,0.560687611182348
LIF,0.560370955605803
SIX4,0.559826979188434
NAGS,0.559156703005557
AC020907.1,0.558766376481381
HILPDA,0.558753630169496
STAB1,0.558453881992856
MYBL2,0.557437926859912
SPTLC3,0.557219441768416
C6orf25,0.556954644333087
STXBP2,0.555926118782637
DOCK6,0.555651621550723
TNFRSF10A,0.554441828695718
ECHDC3,0.553697424678495
BTNL8,0.553362250233137
IL18,0.552831186197782
CFD,0.552696758964395
LAT2,0.551982346735347
PROSER2,0.551238032147336
AL133318.1,0.550938069456056
RUNX3,0.550603945943598
PNMA6A,0.549988149365957
IGLL1,0.549605062230952
HGF,0.549042044347308
A-575C2.4,0.548973804073102
ADCY10,0.548713601880139
TMCO2,0.548523649958564
CLEC18A,0.548432889347559
ZNF812,0.548093020029381
PRICKLE4,0.547945578118832
